PA,SZ,TOD,Pop,Time
Ang Mo Kio,Cheng San,HDB 1- and 2-Room Flats,770,2000
Ang Mo Kio,Cheng San,HDB 3-Room Flats,18810,2000
Ang Mo Kio,Cheng San,HDB 4-Room Flats,8810,2000
Ang Mo Kio,Cheng San,HDB 5-Room and Executive Flats,3430,2000
Ang Mo Kio,Cheng San,HUDC Flats (excluding those privatised),0,2000
Ang Mo Kio,Cheng San,Landed Properties,0,2000
Ang Mo Kio,Cheng San,Condominiums and Other Apartments,0,2000
Ang Mo Kio,Cheng San,Others,220,2000
Ang Mo Kio,Chong Boon,HDB 1- and 2-Room Flats,1310,2000
Ang Mo Kio,Chong Boon,HDB 3-Room Flats,16850,2000
Ang Mo Kio,Chong Boon,HDB 4-Room Flats,10550,2000
Ang Mo Kio,Chong Boon,HDB 5-Room and Executive Flats,3940,2000
Ang Mo Kio,Chong Boon,HUDC Flats (excluding those privatised),0,2000
Ang Mo Kio,Chong Boon,Landed Properties,0,2000
Ang Mo Kio,Chong Boon,Condominiums and Other Apartments,0,2000
Ang Mo Kio,Chong Boon,Others,300,2000
Ang Mo Kio,Kebun Bahru,HDB 1- and 2-Room Flats,1640,2000
Ang Mo Kio,Kebun Bahru,HDB 3-Room Flats,13450,2000
Ang Mo Kio,Kebun Bahru,HDB 4-Room Flats,7580,2000
Ang Mo Kio,Kebun Bahru,HDB 5-Room and Executive Flats,2490,2000
Ang Mo Kio,Kebun Bahru,HUDC Flats (excluding those privatised),0,2000
Ang Mo Kio,Kebun Bahru,Landed Properties,1360,2000
Ang Mo Kio,Kebun Bahru,Condominiums and Other Apartments,0,2000
Ang Mo Kio,Kebun Bahru,Others,300,2000
Ang Mo Kio,Seletar,HDB 1- and 2-Room Flats,0,2000
Ang Mo Kio,Seletar,HDB 3-Room Flats,0,2000
Ang Mo Kio,Seletar,HDB 4-Room Flats,0,2000
Ang Mo Kio,Seletar,HDB 5-Room and Executive Flats,0,2000
Ang Mo Kio,Seletar,HUDC Flats (excluding those privatised),0,2000
Ang Mo Kio,Seletar,Landed Properties,0,2000
Ang Mo Kio,Seletar,Condominiums and Other Apartments,0,2000
Ang Mo Kio,Seletar,Others,0,2000
Ang Mo Kio,Sembawang Hills,HDB 1- and 2-Room Flats,0,2000
Ang Mo Kio,Sembawang Hills,HDB 3-Room Flats,0,2000
Ang Mo Kio,Sembawang Hills,HDB 4-Room Flats,0,2000
Ang Mo Kio,Sembawang Hills,HDB 5-Room and Executive Flats,0,2000
Ang Mo Kio,Sembawang Hills,HUDC Flats (excluding those privatised),0,2000
Ang Mo Kio,Sembawang Hills,Landed Properties,5770,2000
Ang Mo Kio,Sembawang Hills,Condominiums and Other Apartments,160,2000
Ang Mo Kio,Sembawang Hills,Others,140,2000
Ang Mo Kio,Shangri-La,HDB 1- and 2-Room Flats,2480,2000
Ang Mo Kio,Shangri-La,HDB 3-Room Flats,10110,2000
